1;PT-WJL;SENECA - IV
2;PT-LTU;SKYLANE
3;PR-TLT;SKYHAWK
4;PT-ZGC;RV-7A
5;PT-KGD;SKYLANE
6;PT-NVE;CORISCO
7;PT-WCN;SKYLANE
8;PR-BBA;SENECA -V
9;PP-JSA;ARROW lll
10;PT-DMK;CORISCO
11;PT-EIX;SENECA
12;PT-LMS;SENECA
13;PP-SSS;SENECA
14;PT-YNQ;CUNTURION ll
15;PR-USS;CESSNA-210
16;PT-VIQ;SENECA
17;PT-VMF;SENECA
18;PT-JSG;CESSNA-206
19;PT-ULN;SENECA
20;PT-DMG;SKYLANE
21;PT-KNB;SKYLANE
22;PT-DZY;NAVAJO
23;PT-KJJ;SKYLANE
24;PT-IIW;NÃO INFORMADO
